﻿时间,点位,AD值,N值
"2025-08-11 16:06:03.236",左脚3-5,265,1.5
"2025-08-11 16:08:12.907",左脚3-5,463,1.8
"2025-08-11 16:08:31.140",左脚3-5,554,2.1
"2025-08-11 16:09:07.593",左脚3-5,628,2.4
"2025-08-11 16:09:37.452",左脚3-5,794,2.7
"2025-08-11 16:10:05.019",左脚3-5,901,3.0
"2025-08-11 16:10:36.267",左脚3-5,1020,3.3
"2025-08-11 16:11:06.621",左脚3-5,1199,3.7
"2025-08-11 16:12:26.835",左脚3-5,1336,4.0
"2025-08-11 16:14:00.746",左脚4-3,371,0.9
"2025-08-11 16:14:14.951",左脚4-3,521,1.2
"2025-08-11 16:14:25.950",左脚4-3,607,1.5
"2025-08-11 16:14:51.750",左脚4-3,768,1.8
"2025-08-11 16:15:07.071",左脚4-3,879,2.1
"2025-08-11 16:15:37.366",左脚4-3,959,2.4
"2025-08-11 16:15:56.836",左脚4-3,1160,2.7
"2025-08-11 16:16:24.714",左脚4-3,1332,3.0
"2025-08-11 16:17:36.261",左脚4-7,209,1.2
"2025-08-11 16:18:05.091",左脚4-7,400,1.5
"2025-08-11 16:18:23.899",左脚4-7,564,1.8
"2025-08-11 16:18:33.393",左脚4-7,670,2.1
"2025-08-11 16:19:54.128",左脚4-7,848,2.4
"2025-08-11 16:20:37.827",左脚4-7,1083,2.7
"2025-08-11 16:20:58.221",左脚4-7,1325,3.0
"2025-08-11 16:21:25.589",左脚5-5,222,1.2
"2025-08-11 16:21:35.322",左脚5-5,407,1.5
"2025-08-11 16:21:51.473",左脚5-5,512,1.8
"2025-08-11 16:22:06.680",左脚5-5,683,2.1
"2025-08-11 16:22:35.275",左脚5-5,888,2.4
"2025-08-11 16:23:45.251",左脚5-5,1001,2.7
"2025-08-11 16:23:56.877",左脚5-5,1139,3.0
"2025-08-11 16:24:26.487",左脚5-5,1337,3.3
"2025-08-11 16:25:02.140",左脚6-6,234,1.2
"2025-08-11 16:25:11.772",左脚6-6,333,1.5
"2025-08-11 16:25:26.769",左脚6-6,438,1.8
"2025-08-11 16:25:41.641",左脚6-6,612,2.1
"2025-08-11 16:26:11.883",左脚6-6,831,2.4
"2025-08-11 16:26:53.874",左脚6-6,1012,2.7
"2025-08-11 16:28:13.398",左脚6-6,1265,3.0
"2025-08-11 16:28:48.355",左脚6-6,1336,3.3
"2025-08-11 16:30:31.830",左脚7-3,365,1.5
"2025-08-11 16:31:16.966",左脚7-3,452,1.8
"2025-08-11 16:31:31.972",左脚7-3,529,2.1
"2025-08-11 16:32:03.025",左脚7-3,755,2.4
"2025-08-11 16:32:25.926",左脚7-3,912,2.7
"2025-08-11 16:32:53.451",左脚7-3,1068,3.0
"2025-08-11 16:33:15.908",左脚7-3,1303,3.3
"2025-08-11 16:36:21.199",左脚8-7,214,1.2
"2025-08-11 16:36:38.157",左脚8-7,343,1.5
"2025-08-11 16:41:35.371",左脚8-7,546,1.8
"2025-08-11 16:41:50.535",左脚8-7,647,2.1
"2025-08-11 16:42:26.851",左脚8-7,807,2.4
"2025-08-11 16:42:52.147",左脚8-7,1003,2.7
"2025-08-11 16:44:25.337",左脚8-7,1148,3.0
"2025-08-11 16:44:42.016",左脚8-7,1334,3.3
"2025-08-11 16:45:15.135",左脚10-7,283,1.2
"2025-08-11 16:45:52.450",左脚10-7,405,1.5
"2025-08-11 16:46:22.324",左脚10-7,508,1.8
"2025-08-11 16:46:37.924",左脚10-7,609,2.1
"2025-08-11 16:47:08.413",左脚10-7,750,2.4
"2025-08-11 16:47:28.080",左脚10-7,900,2.7
"2025-08-11 16:48:42.052",左脚10-7,1004,3.0
"2025-08-11 16:49:57.571",左脚10-7,1200,3.3
"2025-08-11 16:50:24.732",左脚10-7,1336,3.6
"2025-08-11 16:52:29.525",左脚12-8,311,1.5
"2025-08-11 16:53:03.131",左脚12-8,453,1.8
"2025-08-11 16:53:16.940",左脚12-8,574,2.1
"2025-08-11 16:53:43.611",左脚12-8,732,2.4
"2025-08-11 16:54:10.947",左脚12-8,852,2.7
"2025-08-11 16:55:27.468",左脚12-8,1087,3.0
"2025-08-11 16:55:46.013",左脚12-8,1228,3.3
"2025-08-11 16:56:09.884",左脚12-8,1335,3.6
"2025-08-11 16:56:38.039",左脚14-7,263,1.2
