﻿时间,点位,AD值,N值
"2025-08-11 13:54:47.576",右脚3-5,201,1.2
"2025-08-11 13:54:59.103",右脚3-5,347,1.5
"2025-08-11 13:55:10.424",右脚3-5,436,1.8
"2025-08-11 13:56:02.237",右脚3-5,664,2.1
"2025-08-11 13:56:25.062",右脚3-5,729,2.4
"2025-08-11 13:56:35.691",右脚3-5,895,2.7
"2025-08-11 13:56:56.674",右脚3-5,954,3.0
"2025-08-11 13:57:24.058",右脚3-5,1099,3.3
"2025-08-11 13:58:28.047",右脚3-5,1179,3.7
"2025-08-11 13:58:36.945",右脚3-5,1263,4.0
"2025-08-11 13:58:52.684",右脚3-5,1321,4.3
"2025-08-11 14:00:02.687",右脚4-3,202,1.5
"2025-08-11 14:00:46.730",右脚4-3,310,1.8
"2025-08-11 14:01:00.094",右脚4-3,425,2.1
"2025-08-11 14:01:58.229",右脚4-3,514,2.5
"2025-08-11 14:02:15.070",右脚4-3,780,2.8
"2025-08-11 14:02:33.450",右脚4-3,870,3.0
"2025-08-11 14:03:05.355",右脚4-3,929,3.3
"2025-08-11 14:03:27.125",右脚4-3,1112,3.7
"2025-08-11 14:03:56.416",右脚4-3,1211,4.0
"2025-08-11 14:05:11.438",右脚4-3,1326,4.4
"2025-08-11 14:06:37.850",右脚4-7,205,1.5
"2025-08-11 14:09:20.967",右脚4-7,225,1.9
"2025-08-11 14:09:42.535",右脚4-7,412,2.1
"2025-08-11 14:10:39.547",右脚4-7,529,2.6
"2025-08-11 14:11:57.960",右脚4-7,625,2.9
"2025-08-11 14:12:09.073",右脚4-7,726,3.3
"2025-08-11 14:12:29.043",右脚4-7,857,3.7
"2025-08-11 14:12:51.681",右脚4-7,1053,3.9
"2025-08-11 14:13:15.253",右脚4-7,1150,4.3
"2025-08-11 14:13:30.208",右脚4-7,1325,4.6
"2025-08-11 14:14:48.383",右脚5-5,272,1.2
"2025-08-11 14:15:14.551",右脚5-5,414,1.5
"2025-08-11 14:15:44.559",右脚5-5,588,1.8
"2025-08-11 14:17:21.158",右脚5-5,645,2.2
"2025-08-11 14:17:43.638",右脚5-5,735,2.5
"2025-08-11 14:20:47.902",右脚5-5,902,2.9
"2025-08-11 14:20:56.242",右脚5-5,1041,3.1
"2025-08-11 14:22:23.051",右脚5-5,1165,3.6
"2025-08-11 14:23:39.036",右脚5-5,1211,4.0
"2025-08-11 14:24:01.821",右脚5-5,1340,4.5
"2025-08-11 14:25:34.520",右脚6-6,385,1.2
"2025-08-11 14:25:47.886",右脚6-6,463,1.5
"2025-08-11 14:25:58.930",右脚6-6,682,1.8
"2025-08-11 14:26:11.339",右脚6-6,744,2.1
"2025-08-11 14:26:35.202",右脚6-6,850,2.4
"2025-08-11 14:27:57.978",右脚6-6,1136,2.7
"2025-08-11 14:28:20.450",右脚6-6,1232,3.0
"2025-08-11 14:28:39.704",右脚6-6,1338,3.3
"2025-08-11 14:29:47.365",右脚7-3,385,1.2
"2025-08-11 14:32:05.438",右脚7-3,565,1.5
"2025-08-11 14:35:30.047",右脚7-3,756,1.7
"2025-08-11 14:38:50.338",右脚7-3,879,2.1
"2025-08-11 14:39:14.452",右脚7-3,1011,2.4
"2025-08-11 14:39:33.734",右脚7-3,1193,2.7
"2025-08-11 14:39:54.450",右脚7-3,1226,3.0
"2025-08-11 14:40:24.471",右脚7-3,1332,3.3
"2025-08-11 14:41:14.416",右脚8-7,385,1.2
"2025-08-11 14:41:22.965",右脚8-7,530,1.5
"2025-08-11 14:41:45.402",右脚8-7,791,1.8
"2025-08-11 14:42:31.326",右脚8-7,873,2.1
"2025-08-11 14:42:49.738",右脚8-7,1037,2.4
"2025-08-11 14:43:07.546",右脚8-7,1158,2.7
"2025-08-11 14:44:17.920",右脚8-7,1339,3.0
"2025-08-11 14:45:51.908",右脚10-7,261,1.2
"2025-08-11 14:46:08.787",右脚10-7,531,1.5
"2025-08-11 14:46:25.914",右脚10-7,613,1.8
"2025-08-11 14:46:34.125",右脚10-7,861,2.0
"2025-08-11 14:47:01.816",右脚10-7,1052,2.4
"2025-08-11 14:47:22.558",右脚10-7,1274,2.7
"2025-08-11 14:47:49.548",右脚10-7,1339,3.0
"2025-08-11 14:48:20.139",右脚12-8,343,1.2
"2025-08-11 14:48:45.726",右脚12-8,524,1.5
"2025-08-11 14:48:56.013",右脚12-8,713,1.8
"2025-08-11 14:49:56.499",右脚12-8,830,2.1
"2025-08-11 14:50:15.986",右脚12-8,914,2.5
"2025-08-11 14:50:37.732",右脚12-8,1064,2.8
"2025-08-11 14:50:50.064",右脚12-8,1290,3.0
"2025-08-11 14:51:32.122",右脚12-8,1338,3.3
"2025-08-11 14:52:53.743",右脚14-7,315,1.2
"2025-08-11 14:53:09.675",右脚14-7,499,1.5
"2025-08-11 14:53:25.843",右脚14-7,595,1.8
"2025-08-11 14:53:50.129",右脚14-7,753,2.1
"2025-08-11 14:54:05.951",右脚14-7,974,2.4
"2025-08-11 14:54:27.180",右脚14-7,1294,2.7
"2025-08-11 14:54:41.410",右脚14-7,1338,3.0
"2025-08-11 14:55:16.893",右脚17-6,317,1.2
"2025-08-11 14:56:05.747",右脚17-6,477,1.5
"2025-08-11 14:56:19.600",右脚17-6,643,1.8
"2025-08-11 14:56:38.629",右脚17-6,822,2.1
"2025-08-11 14:57:05.999",右脚17-6,1029,2.4
"2025-08-11 14:57:19.895",右脚17-6,1185,2.7
"2025-08-11 14:57:39.709",右脚17-6,1337,3.0
"2025-08-11 14:58:40.231",右脚19-6,288,0.9
"2025-08-11 14:58:49.348",右脚19-6,441,1.2
"2025-08-11 15:01:06.671",右脚19-6,534,1.5
"2025-08-11 15:01:16.508",右脚19-6,634,1.8
"2025-08-11 15:01:28.067",右脚19-6,728,2.1
"2025-08-11 15:02:41.751",右脚19-6,977,2.4
"2025-08-11 15:02:52.549",右脚19-6,1046,2.7
